conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,
1.91868838136379E+018,Sun May 04 23:59:03 +0000 2025,2,@JackMoon_MikeAK @ciptaanmamah @redread99 @sociotalker Ngapain jg mengkritisi terlalu dalam pihak yg kalah.. Kritisi noh MBG yg jd program bancakan.. uang ratusan T per tahun jd tai mau dibiarkan.. Berapa % asupan protein per minggu yg didapat per orang dr program MBG? https://t.co/kJl1e8rquP,1.91917999970739E+018,,JackMoon_MikeAK,in,,0,0,0,https://x.com/undefined/status/1919179999707386001,96902999,,
1.919179551504E+018,Sun May 04 23:57:16 +0000 2025,2,Kebutuhan gizi anak-anak Papua dapat terpenuhi dengan Program MBG #papua #papuatengah #papuahits #jayapura #nabire #jayawijaya #merauke #mbg #mbgpapua #MBGMajukanPapua https://t.co/sF1uF7jJfu,1.919179551504E+018,https://pbs.twimg.com/media/GqJLn-Ua4AAsTnE.jpg,,in,,0,1,1,https://x.com/undefined/status/1919179551503999297,1.35694178748759E+018,,
1.91917628857036E+018,Sun May 04 23:44:18 +0000 2025,0,Program MBG menjadi langkah strategis untuk meningkatkan kesehatan gizi anak https://t.co/Q1lAZdbzca,1.91917628857036E+018,https://pbs.twimg.com/media/GqJIpRdb0AA2yi4.jpg,,in,,0,0,0,https://x.com/undefined/status/1919176288570363987,1.41234278109633E+018,,
1.91859602513852E+018,Sun May 04 23:37:10 +0000 2025,0,@sseemsms @ongenlus Gabisa program ini dikerjain pemerintah pusat. Terlalu ribet supply chainnya. Klo pemerintah daerah mungkin. Will be another MBG,1.91917449187761E+018,,sseemsms,in,,0,0,0,https://x.com/undefined/status/1919174491877609959,1.7033545260306E+018,,
1.91890570196492E+018,Sun May 04 23:20:17 +0000 2025,0,@egharap @anakodok2009 @Forum_MBG @barengwarga @MorphoMenelausX Tampaknya begitu ya Tp sebaiknya Kepala BGN diganti saja...ganti dgn yg punya mind set bener untuk menangani program MBG ini,1.91917024475024E+018,,egharap,in,,0,0,0,https://x.com/undefined/status/1919170244750238013,4597496354,,
1.91890570196492E+018,Sun May 04 23:04:37 +0000 2025,1,@egharap @MaliminRinaldi @Forum_MBG @barengwarga @MorphoMenelausX Kyk gk tau aja typical org indonesia kalau ditegur iya iya ngangguk2. Atasannya seneng dg laporan yg abs Kalau trjd keracunan makanan lg berani mundur gk? Berani stop program ini gk? Itu baru komitmen,1.91916630399196E+018,,egharap,in,,0,1,1,https://x.com/undefined/status/1919166303991955934,1.31775085825624E+018,,
1.91883002948141E+018,Sun May 04 22:36:32 +0000 2025,0,@GenZNusantara Bandung makin keren setelah tau program MBG kuat berkat pengawasan dan dedikasi BPOM,1.91915923323849E+018,,GenZNusantara,in,,0,0,0,https://x.com/undefined/status/1919159233238487082,1.70218294275436E+018,,
1.91905247951134E+018,Sun May 04 22:31:50 +0000 2025,1,@UmarHasibuan__ saat ini gak usah ada hubungan diplomatik2an dulu ke as mending anggaran kedubes di alokasikan dulu ke untuk program MBG atau IKN ‍️,1.91915805406892E+018,,UmarHasibuan__,in,,0,0,0,https://x.com/undefined/status/1919158054068920434,1.84402436737594E+018,,
1.91848549004468E+018,Sun May 04 22:28:16 +0000 2025,0,@ardisatriawan Kenapa sblm membuat janji kampamye tdk merencanakan secara teliti Program MBG dari segi Kemampuan Anggaran Distribusi Kebutuhan Prioritas Sekolah Manfaatnya secara Mendasar ttg Kompetensi bagi Pegembangan Siswa &amp, Sekolah ? Kalau perlu dievaluasi ya dievalusi saja ,1.91915715366083E+018,,ardisatriawan,in,,0,0,0,https://x.com/undefined/status/1919157153660829981,289525314,
1.91913714440623E+018,Sun May 04 21:08:45 +0000 2025,2,Prabowo Akui Program MBG Rawan Dikorupsi: Jadi Sasaran Manusia Serakah Presiden RI Prabowo Subianto mewanti-wanti seluruh petugas yang mengelola program Makan Bergizi Gratis (MBG) termasuk Kepala Badan Gizi Nasional (BGN) Dadan Hindayana bahwa program makan bergizi gratis ini https://t.co/D6ekv6Cvhx,1.91913714440623E+018,https://pbs.twimg.com/media/GqIlDmCbMAAuA1b.jpg,,in,,0,0,0,https://x.com/undefined/status/1919137144406229196,1.90508663127691E+018,,
1.9188297658987E+018,Sun May 04 20:29:26 +0000 2025,0,@GenZNusantara Program MBG di Cianjur terbukti makin aman support BPOM selalu bikin masyarakat merasa terjaga,1.91912724865891E+018,,GenZNusantara,in,,0,0,0,https://x.com/undefined/status/1919127248658907389,1.70217191163426E+018,,
1.91883002948141E+018,Sun May 04 20:24:34 +0000 2025,0,@GenZNusantara Rasa syukur buat semua yang udah kerja keras di balik Program MBG sehat itu investasi masa depan,1.91912602492911E+018,,GenZNusantara,in,,0,0,0,https://x.com/undefined/status/1919126024929112333,1.69491849730498E+018,,
1.91832208464146E+018,Sun May 04 19:55:35 +0000 2025,0,@detikcom Pak presiden @prabowo @Gerindra tolong sudahi saja program MBG ini krn ga berguna dan lebih banyak mudharatnya.. Dana dikorupsi keracunan massal lebih baik cari solusi spy para-para ortu anak-anak itu tdk kena PHK.,1.91911873188141E+018,,detikcom,in,,0,0,0,https://x.com/undefined/status/1919118731881406959,1.73135408069263E+018,,
1.9188297658987E+018,Sun May 04 19:26:42 +0000 2025,0,@GenZNusantara Peran vital BPOM bikin Program MBG bisa terus berkembang dan berevolusi lebih baik setiap saat,1.91911146273736E+018,,GenZNusantara,in,,0,0,0,https://x.com/undefined/status/1919111462737363245,1.83414080188E+018,,
1.91883002948141E+018,Sun May 04 19:24:50 +0000 2025,0,@GenZNusantara Senang sih di Cianjur program MBG jalan mulus berkat kolaborasi BPOM sama petugas gizi di puskesmas,1.91911099305916E+018,,GenZNusantara,in,,0,0,0,https://x.com/undefined/status/1919110993059160083,1.70219193829922E+018,,
